ligand,E1,E2,E3
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-4.6,-7.2,-4.5
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-4.5,-5.3,-4.4
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-3.2,-3.9,-3.1
NPUKDXXFDDZOKR-LLVKDONJSA-N,-4.4,-6.3,-4.7
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-4.5,-6.0,-4.2
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-4.4,-5.0,-4.7
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-4.8,-6.3,-5.4
COVZYZSDYWQREU-UHFFFAOYSA-N,-4.1,-4.8,-4.2
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-5.4,-6.8,-5.8
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-4.5,-5.6,-4.6
RZVAJINKPMORJF-UHFFFAOYSA-N,-4.8,-6.1,-4.7
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-4.8,-7.0,-5.5
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-3.9,-5.1,-4.4
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-4.7,-4.7,-4.6
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-3.6,-4.2,-3.6
WZHCOOQXZCIUNC-AEGPPILISA-N,-5.6,-6.4,-5.1
HXHWSAZORRCQMX-UHFFFAOYSA-N,-4.4,-5.6,-5.9
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-5.1,-6.2,-5.2
YAMVZYRZAMBCED-UHFFFAOYSA-N,-4.5,-6.1,-5.7
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-5.7,-6.8,-5.3
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-4.8,-5.3,-4.9
CMWTZPSULFXXJA-VIFPVBQESA-N,-5.3,-7.2,-5.0
STHAHFPLLHRRRO-UHFFFAOYSA-N,-5.1,-5.4,-4.6
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-4.1,-5.0,-4.5
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.0,-4.7,-4.4
