ligand,energy,binding score
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.5,31178.19
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.8,16323.22
DB15096,-7.6,18351.18
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.7,23282.48
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-8.0,19135.62
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.8,37098.05
NFHVTCJKAHYEQN-WMLDXEAASA-N,-8.2,40795.56
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-8.0,14343.44
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.0,29608.32
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.3,19260.0
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.1,32582.92
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.2,25669.06
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.6,17287.02
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.4,36054.68
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-8.8,20493.9
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.6,35716.39
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.1,13878.22
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.1,33107.99
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.4,28182.29
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.2,25762.11
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.4,30630.26
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.5,21886.83
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.6,36557.64
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.3,33974.53
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.6,38178.17
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.8,28395.2
METKIMKYRPQLGS-GFCCVEGCSA-N,-7.1,30061.24
BUJAGSGYPOAWEI-VIFPVBQESA-N,-6.3,24793.57
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-7.1,32321.08
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-7.3,26428.48
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-7.7,37354.79
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-9.1,17802.54
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.1,37990.23
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-8.9,17356.87
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.2,28855.27
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-8.2,25334.27
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-6.2,37547.12
LSLYOANBFKQKPT-PIGZYNQJSA-N,-8.0,27161.35
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-6.0,29099.57
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-9.1,22272.15
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-5.4,11393.08
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-6.6,28859.35
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-6.8,23943.57
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-6.8,22200.24
LMOINURANNBYCM-LLVKDONJSA-N,-6.6,37603.19
USSIQXCVUWKGNF-KRWDZBQOSA-N,-6.5,27125.34
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.7,41377.44
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-7.3,36287.62
URCIJDUOBBSMII-HZPDHXFCSA-N,-7.6,35896.9
YSAUAVHXTIETRK-AATRIKPKSA-N,-6.1,16151.03
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-8.1,27998.11
PAQZZCOZHPGCFW-UUELBBOTSA-N,-7.5,23121.03
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.0,31361.65
