ligand,energy,binding score
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.7,10517.67
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-7.7,17610.49
YVQVOQKFMFRVGR-LLUUXILJSA-N,-8.5,10665.73
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.3,9145.71
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.5,12272.2
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-8.0,10359.82
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.3,12014.28
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.7,10578.7
DB15096,-8.6,7259.45
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.3,10598.3
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-10.1,14131.28
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.8,15834.87
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.8,14626.35
LEQAKWQJCITZNK-AXHKHJLKSA-N,-9.9,10643.73
XLMALTXPSGQGBX-GCJKJVERSA-N,-7.4,9466.8
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-10.9,9895.24
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.8,14100.56
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-8.0,15282.51
FRQGJOFRWIILCX-UHFFFAOYSA-N,-8.7,10400.6
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.9,7719.26
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.6,15111.86
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.7,8599.84
XILVEPYQJIOVNB-UHFFFAOYSA-N,-8.2,5754.28
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-8.0,13861.32
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-8.5,3232.62
YSAUAVHXTIETRK-AATRIKPKSA-N,-6.7,13889.62
LSLYOANBFKQKPT-PIGZYNQJSA-N,-8.4,13814.86
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-10.7,14397.66
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-5.6,7920.16
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-7.8,5578.94
METKIMKYRPQLGS-GFCCVEGCSA-N,-7.1,16337.7
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-6.3,17840.91
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-11.3,9546.74
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.4,8350.67
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.9,15828.89
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-9.0,14285.26
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.8,11446.42
USSIQXCVUWKGNF-KRWDZBQOSA-N,-7.3,10559.07
URCIJDUOBBSMII-HZPDHXFCSA-N,-7.5,16182.26
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.7,16066.6
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-7.1,11927.35
