ligand,energy,binding score
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.2,16854.78
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.2,14637.33
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.8,9460.04
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.7,15001.69
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.1,11949.0
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.3,9073.45
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.3,12848.7
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.3,15000.97
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.9,16729.29
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.1,13223.92
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.7,12263.41
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-8.8,16186.4
XILVEPYQJIOVNB-UHFFFAOYSA-N,-8.0,3446.21
DB15096,-6.8,9017.14
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.6,20899.86
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.8,13030.08
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.3,5850.94
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.2,2877.91
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.1,16177.61
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.6,10381.64
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.5,14918.88
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-7.1,14114.71
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.4,11848.01
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-9.8,16914.97
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.9,18735.65
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.8,16364.97
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.1,11252.31
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.3,16479.86
PDWUPXJEEYOOTR-IUAIQHPESA-N,-7.2,6343.9
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-8.0,17248.37
URCIJDUOBBSMII-HZPDHXFCSA-N,-6.8,16071.77
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.9,17002.97
