ligand,energy,binding score
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.3,3762.91
XLMALTXPSGQGBX-GCJKJVERSA-N,-7.1,6400.63
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.4,12311.77
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.5,12442.51
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.0,3068.82
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.3,7430.57
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.4,11701.39
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-8.4,12629.93
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.8,5819.66
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.3,1752.21
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-8.0,8973.94
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.7,8869.43
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-9.5,12051.73
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.5,4609.39
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-8.1,10149.63
DB15096,-7.7,4897.1
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.2,4378.54
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-8.7,7338.88
YVQVOQKFMFRVGR-LLUUXILJSA-N,-8.4,6076.82
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-7.1,12826.34
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.8,1991.15
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.2,8483.24
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.5,6763.88
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.1,10850.59
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.7,7408.37
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-7.0,5188.78
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-8.6,11699.23
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.7,11990.38
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-7.9,13143.24
LSLYOANBFKQKPT-PIGZYNQJSA-N,-8.3,7195.19
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-6.1,12348.52
AUZONCFQVSMFAP-UHFFFAOYSA-N,-5.0,11271.61
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-8.3,2020.99
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-6.8,12301.47
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-10.1,13326.0
LMOINURANNBYCM-LLVKDONJSA-N,-7.1,9965.32
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-6.9,13037.09
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-8.0,6981.44
BUJAGSGYPOAWEI-VIFPVBQESA-N,-6.5,5054.02
USSIQXCVUWKGNF-KRWDZBQOSA-N,-6.6,7639.63
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-9.4,7017.77
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-8.4,12108.7
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-7.1,7796.59
YSAUAVHXTIETRK-AATRIKPKSA-N,-6.2,12511.97
URCIJDUOBBSMII-HZPDHXFCSA-N,-7.7,8603.31
METKIMKYRPQLGS-GFCCVEGCSA-N,-7.3,10835.2
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.7,4031.51
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-5.2,3390.77
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-7.8,11531.61
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.7,8778.66
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-11.6,13346.03
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-6.2,8112.46
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-6.1,9643.16
MXHODDGKGSGCDI-UHFFFAOYSA-N,-7.5,10889.4
FOCVUCIESVLUNU-UHFFFAOYSA-N,-4.4,12042.32
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.8,8941.14
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-6.9,12181.33
GMZVRMREEHBGGF-UHFFFAOYSA-N,-5.8,5442.65
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-12.5,11863.08
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-8.9,12028.29
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-6.7,11244.86
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-9.2,11342.3
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.9,8041.76
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-10.0,5218.38
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-8.2,1971.6
