ligand,energy,binding score
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.6,10381.64
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.3,9073.45
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.2,16854.78
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.6,20899.86
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-7.1,14114.71
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.3,12848.7
XILVEPYQJIOVNB-UHFFFAOYSA-N,-8.0,3446.21
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.0,16186.4
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.8,16729.29
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.2,2877.91
DB15096,-7.3,9017.14
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.1,11949.0
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.1,13223.92
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.2,14637.33
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.1,16177.61
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.2,5850.94
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.7,15000.97
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.7,12263.41
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.5,15001.69
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.5,14918.88
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-9.4,11848.01
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-9.8,16914.97
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.8,13030.08
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.8,9460.04
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.9,18735.65
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-7.9,18345.82
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.1,11252.31
LMOINURANNBYCM-LLVKDONJSA-N,-6.4,17559.9
URCIJDUOBBSMII-HZPDHXFCSA-N,-6.9,16071.77
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.4,16479.86
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-8.4,14920.39
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.4,17491.52
