ligand,energy,binding score
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-6.2,22260.98
YVQVOQKFMFRVGR-LLUUXILJSA-N,-6.6,14545.57
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-6.0,12638.24
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.0,19582.41
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-7.1,15558.12
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.1,13620.71
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-5.3,22655.86
DB15096,-7.1,11343.83
VBZDETYCYXPOAK-HVIDBACLSA-N,-5.6,15376.02
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-5.3,17693.19
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.7,21054.98
NFHVTCJKAHYEQN-WMLDXEAASA-N,-6.9,18072.67
XLMALTXPSGQGBX-GCJKJVERSA-N,-5.7,14572.72
XILVEPYQJIOVNB-UHFFFAOYSA-N,-6.9,12760.91
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.1,16361.0
NHTGHBARYWONDQ-JTQLQIEISA-N,-5.1,18488.95
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-6.9,10041.31
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-8.8,15694.37
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.6,10520.27
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.9,18131.23
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-7.7,18719.74
VLPIATFUUWWMKC-JTQLQIEISA-N,-4.9,5940.29
FRQGJOFRWIILCX-UHFFFAOYSA-N,-6.5,13049.45
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-7.7,12819.75
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.3,21984.65
PDWUPXJEEYOOTR-IUAIQHPESA-N,-5.9,12188.32
USSIQXCVUWKGNF-KRWDZBQOSA-N,-5.8,15973.26
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-8.2,14269.99
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-5.5,17412.21
AUZONCFQVSMFAP-UHFFFAOYSA-N,-4.4,16989.63
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-6.8,17505.23
LMOINURANNBYCM-LLVKDONJSA-N,-5.9,22117.83
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-4.9,22367.14
