ligand,energy,binding score
DB15096,-6.7,14107.03
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.0,8442.09
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.0,10300.64
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-6.1,10506.25
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-6.7,13087.4
NHTGHBARYWONDQ-JTQLQIEISA-N,-5.7,15112.6
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.0,18165.71
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.9,16637.41
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-5.4,23601.86
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-5.9,14636.96
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-7.5,19586.0
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-8.4,15835.85
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-6.9,15847.59
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.4,22744.1
FRQGJOFRWIILCX-UHFFFAOYSA-N,-5.2,15847.62
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-6.6,13422.04
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-6.4,8378.49
VBZDETYCYXPOAK-HVIDBACLSA-N,-5.4,13210.51
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.7,20767.62
YVQVOQKFMFRVGR-LLUUXILJSA-N,-6.9,14836.02
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-7.5,20564.4
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.6,22714.04
VLPIATFUUWWMKC-JTQLQIEISA-N,-5.9,3068.67
LEQAKWQJCITZNK-AXHKHJLKSA-N,-6.7,14808.37
XILVEPYQJIOVNB-UHFFFAOYSA-N,-6.7,12237.81
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-4.8,5647.72
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-6.4,11999.56
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-5.9,11822.43
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-7.3,14067.38
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-5.6,18739.01
BUJAGSGYPOAWEI-VIFPVBQESA-N,-5.5,18428.67
AUZONCFQVSMFAP-UHFFFAOYSA-N,-3.9,18889.32
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-6.3,22223.61
USSIQXCVUWKGNF-KRWDZBQOSA-N,-5.6,19213.07
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-5.7,23700.92
YSAUAVHXTIETRK-AATRIKPKSA-N,-5.7,13062.06
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-8.3,14269.62
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-5.8,18088.66
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.3,24053.32
LSLYOANBFKQKPT-PIGZYNQJSA-N,-7.0,20025.41
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.6,16626.84
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.3,10504.14
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.6,16786.7
ITMSAWKLJVGBIT-VKHMYHEASA-N,-4.8,17336.21
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-7.3,19344.44
LMOINURANNBYCM-LLVKDONJSA-N,-5.7,21469.22
URCIJDUOBBSMII-HZPDHXFCSA-N,-6.0,22124.95
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-5.3,16392.36
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-6.8,17091.34
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-6.0,18856.1
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-7.7,18360.53
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-7.1,14346.99
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-5.0,18143.89
FOCVUCIESVLUNU-UHFFFAOYSA-N,-3.9,22029.43
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-4.7,23981.69
GDYUVHBMFVMBAF-LIRRHRJNSA-N,-6.8,9171.22
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.1,21404.77
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-5.4,11264.07
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-8.7,18392.8
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-6.3,21432.31
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-7.1,24029.62
GMZVRMREEHBGGF-UHFFFAOYSA-N,-4.5,15660.87
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-6.8,11502.56
YWPHCCPCQOJSGZ-NSHDSACASA-N,-6.1,12768.12
MPBVHIBUJCELCL-UHFFFAOYSA-N,-5.6,12450.15
PAQZZCOZHPGCFW-UUELBBOTSA-N,-6.5,17986.05
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-5.5,15942.1
MXHODDGKGSGCDI-UHFFFAOYSA-N,-6.5,15066.69
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.2,20078.78
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-5.2,17034.48
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-5.9,22031.65
GUBGYTABKSRVRQ-QUYVBRFLSA-N,-5.3,22185.92
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.1,18281.97
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-5.8,20388.61
WZHCOOQXZCIUNC-AEGPPILISA-N,-6.4,14931.29
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-4.4,13628.1
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-6.1,5934.12
CMWTZPSULFXXJA-VIFPVBQESA-N,-7.0,16978.82
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.8,19314.82
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-6.2,13250.15
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-7.7,15219.22
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-6.2,12071.75
HXHWSAZORRCQMX-UHFFFAOYSA-N,-6.2,19622.67
COVZYZSDYWQREU-UHFFFAOYSA-N,-4.8,11119.44
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-6.0,4207.87
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-5.7,20343.12
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-6.8,13106.17
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-5.2,11990.7
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.5,13808.79
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-7.1,18276.61
YAMVZYRZAMBCED-UHFFFAOYSA-N,-6.1,9884.38
RZVAJINKPMORJF-UHFFFAOYSA-N,-5.4,19306.32
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-7.0,16784.75
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-6.2,13555.45
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-4.8,17373.9
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-5.6,17190.14
NPUKDXXFDDZOKR-LLVKDONJSA-N,-6.3,14987.92
STHAHFPLLHRRRO-UHFFFAOYSA-N,-6.2,19579.86
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-5.9,11243.45
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.5,17344.56
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-4.9,19121.99
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-5.0,15099.57
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-7.1,17058.12
SOROIESOUPGGFO-YFKPBYRVSA-N,-5.5,19339.75
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-5.5,21954.33
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-6.4,15312.84
