ligand,energy,binding score
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-9.4,28234.68
NFHVTCJKAHYEQN-WMLDXEAASA-N,-8.2,44709.5
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.7,39660.45
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.1,35656.04
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.6,43195.21
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.4,38408.28
DB15096,-7.5,19399.7
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.3,38363.0
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.0,31450.78
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-8.8,21404.29
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.2,26343.79
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-8.0,30059.39
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-7.8,16049.35
LEQAKWQJCITZNK-AXHKHJLKSA-N,-8.5,20950.56
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.1,25774.96
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.4,43058.03
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.9,39387.18
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-6.1,33874.4
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.2,38886.23
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-10.7,28952.16
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.6,30417.09
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.5,33678.73
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-8.0,12531.82
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.3,36216.96
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.2,19709.29
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-8.3,26777.59
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-6.7,24279.12
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-8.7,16993.29
LSLYOANBFKQKPT-PIGZYNQJSA-N,-8.1,29386.39
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-7.2,39535.49
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-7.3,27636.83
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.7,43695.13
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-7.3,39414.73
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-6.2,39265.54
YSAUAVHXTIETRK-AATRIKPKSA-N,-6.1,15438.66
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-6.6,37702.48
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-6.9,21855.23
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.2,36381.88
METKIMKYRPQLGS-GFCCVEGCSA-N,-7.0,33820.28
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-8.9,17213.1
URCIJDUOBBSMII-HZPDHXFCSA-N,-7.7,40653.83
AUZONCFQVSMFAP-UHFFFAOYSA-N,-5.1,29344.88
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-5.4,20577.31
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-7.1,35366.77
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-6.0,31994.2
USSIQXCVUWKGNF-KRWDZBQOSA-N,-6.5,28835.27
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.1,44581.47
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-9.0,22998.79
LMOINURANNBYCM-LLVKDONJSA-N,-6.6,44356.22
BUJAGSGYPOAWEI-VIFPVBQESA-N,-6.3,26360.48
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-6.2,21700.62
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-5.6,43740.5
GMZVRMREEHBGGF-UHFFFAOYSA-N,-5.2,32193.07
YWPHCCPCQOJSGZ-NSHDSACASA-N,-6.7,19003.11
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-11.1,23358.73
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.6,39747.29
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-8.0,28931.28
MPBVHIBUJCELCL-UHFFFAOYSA-N,-6.0,19895.08
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-6.0,36238.58
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-8.5,39240.48
FOCVUCIESVLUNU-UHFFFAOYSA-N,-4.2,32411.52
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-8.8,25355.52
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-8.3,40388.59
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-8.9,40678.88
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-7.5,28807.69
MXHODDGKGSGCDI-UHFFFAOYSA-N,-7.4,21819.88
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-6.4,37187.95
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.0,34008.01
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-6.5,40793.33
