ligand,energy,binding score
VBZDETYCYXPOAK-HVIDBACLSA-N,-6.3,4115.83
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-9.0,18085.68
FRQGJOFRWIILCX-UHFFFAOYSA-N,-7.9,9926.58
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-8.1,16597.49
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-7.0,17339.87
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.5,8020.04
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-8.0,18914.48
SETMGIIITGNLAS-UHFFFAOYSA-N,-7.3,10780.23
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-7.1,12629.64
XLMALTXPSGQGBX-GCJKJVERSA-N,-6.2,19009.04
NFHVTCJKAHYEQN-WMLDXEAASA-N,-7.4,5007.16
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-7.3,14621.95
VLPIATFUUWWMKC-JTQLQIEISA-N,-6.3,13261.21
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-7.2,1641.31
NHTGHBARYWONDQ-JTQLQIEISA-N,-6.2,11482.59
GBFLZEXEOZUWRN-VKHMYHEASA-N,-4.8,16076.53
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.4,19961.24
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-8.5,17643.14
LEQAKWQJCITZNK-AXHKHJLKSA-N,-7.8,19960.58
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.9,15852.52
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-8.2,8126.16
DB15096,-7.8,4229.09
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-6.3,16942.17
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-8.1,16023.89
XILVEPYQJIOVNB-UHFFFAOYSA-N,-7.8,1702.45
AHZBEVXBKNYXPU-UHFFFAOYSA-N,-7.2,8689.58
PDWUPXJEEYOOTR-IUAIQHPESA-N,-6.4,7104.03
DKVNAGXPRSYHLB-UHFFFAOYSA-N,-7.0,2221.18
QNEXFJFTGQBXBJ-MRVPVSSYSA-N,-5.6,20075.76
METKIMKYRPQLGS-GFCCVEGCSA-N,-6.9,19671.07
LSLYOANBFKQKPT-PIGZYNQJSA-N,-8.4,9819.21
JEYCTXHKTXCGPB-UHFFFAOYSA-N,-7.9,17860.24
LMOINURANNBYCM-LLVKDONJSA-N,-6.6,16122.2
AEOCXXJPGCBFJA-UHFFFAOYSA-N,-5.6,15512.66
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-6.1,18556.63
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-8.6,7054.75
USSIQXCVUWKGNF-KRWDZBQOSA-N,-6.2,9649.92
FMRHJJZUHUTGKE-LBPRGKRZSA-N,-6.5,15958.07
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-6.0,14931.68
ZVSGUZQJNXHNIL-UHFFFAOYSA-N,-7.1,15332.44
KYGZCKSPAKDVKC-UHFFFAOYSA-N,-7.7,18043.46
AUZONCFQVSMFAP-UHFFFAOYSA-N,-5.3,17275.69
KVHHQGIIZCJATJ-BXUZGUMPSA-N,-6.1,17892.39
YSAUAVHXTIETRK-AATRIKPKSA-N,-6.3,15687.78
ITMSAWKLJVGBIT-VKHMYHEASA-N,-5.5,16591.12
BUJAGSGYPOAWEI-VIFPVBQESA-N,-6.7,5201.91
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-7.5,15645.32
URCIJDUOBBSMII-HZPDHXFCSA-N,-6.9,13488.87
KSGXQBZTULBEEQ-UHFFFAOYSA-N,-8.3,15920.95
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-4.9,10894.85
VTUSIVBDOCDNHS-OAHLLOKOSA-N,-6.8,1571.82
FOCVUCIESVLUNU-UHFFFAOYSA-N,-4.6,17517.06
ZLFQARCCMWUSQE-WMPKNSHKSA-N,-8.6,18322.73
QAJQUUOBVOKLOD-UHFFFAOYSA-N,-8.4,14180.81
KWTSXDURSIMDCE-MRVPVSSYSA-N,-5.3,14310.54
MXHODDGKGSGCDI-UHFFFAOYSA-N,-7.6,19288.84
GMZVRMREEHBGGF-UHFFFAOYSA-N,-5.2,13305.09
NREAGDHHMSOWKZ-DXJNJSHLSA-N,-9.4,15648.7
PYNXFZCZUAOOQC-UTKZUKDTSA-N,-8.1,18719.48
MPBVHIBUJCELCL-UHFFFAOYSA-N,-5.7,18748.11
JTEGQNOMFQHVDC-NKWVEPMBSA-N,-6.4,15400.05
GDYUVHBMFVMBAF-LIRRHRJNSA-N,-7.6,16133.91
GUBGYTABKSRVRQ-QUYVBRFLSA-N,-6.4,14538.83
OCDYNPAUUKDNOR-UHFFFAOYSA-N,-8.0,6177.32
YTRMTPPVNRALON-UHFFFAOYSA-N,-8.7,7325.77
YWPHCCPCQOJSGZ-NSHDSACASA-N,-5.9,15083.01
HIGRLDNHDGYWQJ-UHFFFAOYSA-P,-7.3,17908.63
WQVAYGCXSJMPRT-UHFFFAOYSA-N,-6.3,14451.02
PAQZZCOZHPGCFW-UUELBBOTSA-N,-7.0,15648.79
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,-5.8,21477.87
XSBSKEQEUFOSDD-UHFFFAOYSA-N,-5.6,14905.61
SNIOPGDIGTZGOP-UHFFFAOYSA-N,-5.6,13206.31
XVAMCHGMPYWHNL-MKPDMIMOSA-N,-7.7,1726.8
YMDXZJFXQJVXBF-STHAYSLISA-N,-4.5,12380.97
QNIVIMYXGGFTAK-QMMMGPOBSA-N,-4.5,15082.99
HPJKCIUCZWXJDR-UHFFFAOYSA-N,-9.0,11356.74
ZCVAIGPGEINFCX-MRVPVSSYSA-N,-6.8,15402.24
FZNCGRZWXLXZSZ-CIQUZCHMSA-N,-6.3,10227.7
WZHCOOQXZCIUNC-AEGPPILISA-N,-7.7,8697.76
NPUKDXXFDDZOKR-LLVKDONJSA-N,-7.0,15185.25
UFLGIAIHIAPJJC-UHFFFAOYSA-N,-6.8,14267.84
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-8.1,12979.24
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-7.7,4499.77
COVZYZSDYWQREU-UHFFFAOYSA-N,-5.2,15331.63
SRZGFCNCQUMTCP-MRVPVSSYSA-N,-5.5,8187.49
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-7.4,6880.26
BXMFKNRZTLNAFY-UHFFFAOYSA-N,-6.6,6054.89
IUCJMVBFZDHPDX-UHFFFAOYSA-N,-5.8,3332.97
CMWTZPSULFXXJA-VIFPVBQESA-N,-7.0,14233.52
ZEUITGRIYCTCEM-KRWDZBQOSA-N,-7.5,16390.97
DBOUGBAQLIXZLV-UHFFFAOYSA-N,-6.8,2022.92
YAMVZYRZAMBCED-UHFFFAOYSA-N,-6.6,22038.49
VZJFGSRCJCXDSG-UHFFFAOYSA-N,-4.6,19928.26
HXHWSAZORRCQMX-UHFFFAOYSA-N,-6.4,16506.52
GKWPCEFFIHSJOE-UHFFFAOYSA-N,-8.2,16843.92
STHAHFPLLHRRRO-UHFFFAOYSA-N,-7.1,12828.11
WFJIVOKAWHGMBH-UHFFFAOYSA-N,-5.8,14305.51
QSLJIVKCVHQPLV-PEMPUTJUSA-N,-7.4,15030.85
RZVAJINKPMORJF-UHFFFAOYSA-N,-5.9,20773.69
ABBQGOCHXSPKHJ-WUKNDPDISA-N,-7.2,7354.92
RZZPDXZPRHQOCG-OJAKKHQRSA-N,-7.3,20557.49
SZNQDPUZKFSCNG-UHFFFAOYSA-N,-7.6,19537.58
VGGGPCQERPFHOB-RDBSUJKOSA-N,-6.9,12934.55
GBBSUAFBMRNDJC-MRXNPFEDSA-N,-7.2,9695.75
QULKGELYPOJSLP-WCABBAIRSA-N,-6.1,15228.83
AMTPYFGPPVFBBI-UHFFFAOYSA-N,-7.3,9118.52
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-8.0,5401.25
SFLSHLFXELFNJZ-QMMMGPOBSA-N,-6.1,17853.45
SOROIESOUPGGFO-YFKPBYRVSA-N,-7.2,18694.32
AFCGFAGUEYAMAO-UHFFFAOYSA-N,-5.2,14490.04
FLWFHHFTIRLFPV-KRWDZBQOSA-N,-7.4,15124.76
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,-7.5,10098.19
SSOLNOMRVKKSON-UHFFFAOYSA-N,-7.2,9182.98
CPTBDICYNRMXFX-UHFFFAOYSA-N,-6.8,12547.25
USSIQXCVUWKGNF-QGZVFWFLSA-N,-6.3,11658.86
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-5.6,16042.94
YXSLJKQTIDHPOT-OIJGJAQQSA-N,-7.9,9538.88
QRORCRWSRPKEHR-UHFFFAOYSA-N,-6.6,12805.8
YIEDSISPYKQADU-FMQUCBEESA-N,-7.5,10464.07
FAKRSMQSSFJEIM-RQJHMYQMSA-N,-5.2,13773.53
HXYVTAGFYLMHSO-UHFFFAOYSA-N,-5.8,16220.41
KKHPNPMTPORSQE-GOSISDBHSA-N,-7.1,12563.86
ZCKAMNXUHHNZLN-UHFFFAOYSA-N,-6.0,19293.18
SHZKQBHERIJWAO-AATRIKPKSA-N,-7.1,8511.8
LIRCDOVJWUGTMW-ZWNOBZJWSA-N,-8.0,17405.53
GNDPAVKYAUIVEB-NTEUORMPSA-N,-6.9,7504.53
CFOYBMUYCBSDAL-UHFFFAOYSA-N,-8.5,3413.38
ABJKWBDEJIDSJZ-UHFFFAOYSA-N,-7.5,7079.02
HPBNRIOWIXYZFK-QMMMGPOBSA-N,-7.0,18943.78
OPJOMVMFYOUDPK-UHFFFAOYSA-N,-6.2,11979.26
AGMMTXLNIQSRCG-SECBINFHSA-N,-7.1,13768.78
XUYANFPPYJSBPU-QMMMGPOBSA-N,-6.1,11131.74
