ligand,energy,binding score
SETMGIIITGNLAS-UHFFFAOYSA-N,-6.6,13081.55
NHTGHBARYWONDQ-JTQLQIEISA-N,-5.3,13647.18
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-6.0,13578.87
NFHVTCJKAHYEQN-WMLDXEAASA-N,-6.3,11819.2
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,-4.6,10742.7
RRGUKTPIGVIEKM-UHFFFAOYSA-N,-6.9,16577.3
VLPIATFUUWWMKC-JTQLQIEISA-N,-4.7,4135.39
CTQMJYWDVABFRZ-UHFFFAOYSA-N,-5.8,9357.52
YVQVOQKFMFRVGR-LLUUXILJSA-N,-7.6,10492.51
UWEYRJFJVCLAGH-XIXRPRMCSA-N,-6.9,15044.47
JAJLKEVKNDUJBG-UHFFFAOYSA-N,-5.7,11254.6
XDWLRMBWIWKFNC-HNQUOIGGSA-N,-6.8,17668.45
LEQAKWQJCITZNK-AXHKHJLKSA-N,-6.9,19408.17
FRQGJOFRWIILCX-UHFFFAOYSA-N,-5.4,17222.57
XRYLGRGAWQSVQW-KRWDZBQOSA-N,-6.1,3806.54
XILVEPYQJIOVNB-UHFFFAOYSA-N,-6.8,6601.61
XLMALTXPSGQGBX-GCJKJVERSA-N,-5.3,9774.07
GBFLZEXEOZUWRN-VKHMYHEASA-N,-5.3,17896.94
DB15096,-6.0,14485.49
FTOAOBMCPZCFFF-UHFFFAOYSA-N,-5.8,19466.56
WOIGZSBYKGQJGL-UHFFFAOYSA-N,-6.5,19543.06
HXXFSFRBOHSIMQ-VFUOTHLCSA-N,-6.8,20476.88
XXYTXQGCRQLRHA-UHFFFAOYSA-N,-6.9,20849.66
VBZDETYCYXPOAK-HVIDBACLSA-N,-5.0,9879.72
CFZXDJWFRVEWSR-BUHFOSPRSA-N,-7.3,16783.47
QNZCBYKSOIHPEH-UHFFFAOYSA-N,-7.7,16703.39
LHGVFZTZFXWLCP-UHFFFAOYSA-N,-4.9,7313.55
XZEUAXYWNKYKPL-WDYNHAJCSA-N,-6.8,14500.78
ALWKGYPQUAPLQC-UHFFFAOYSA-N,-5.2,20604.48
HTIQEAQVCYTUBX-KRWDZBQOSA-N,-5.0,19477.87
