ligand,binding score,energy
SLYPOVJCSQHITR-UHFFFAOYSA-N,666276.62,-6.0
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1161854.82,-5.2
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1274295.05,-5.8
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1344770.83,-6.1
IMYZQPCYWPFTAG-YWVKMMECSA-N,614038.22,-5.8
WWZKQHOCKIZLMA-UHFFFAOYSA-N,273958.17,-4.9
GZUITABIAKMVPG-UHFFFAOYSA-N,426028.57,-10.1
LCAAMXMULMCKLJ-UHFFFAOYSA-N,708847.74,-8.0
LGAJOMLFGCSBFF-OLXDQKQCSA-N,357705.62,-9.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,318664.82,-8.8
FBPFZTCFMRRESA-JGWLITMVSA-N,317332.34,-5.4
OIRCOABEOLEUMC-GEJPAHFPSA-N,677080.95,-1.4
WOFMFGQZHJDGCX-ZULDAHANSA-N,504470.38,-8.1
PVHUJELLJLJGLN-INIZCTEOSA-N,1212058.54,-6.8
HJPHIJVSRJVAGC-SSDOTTSWSA-N,877624.26,-4.3
BUGYDGFZZOZRHP-CDECOKDKSA-N,726938.93,-6.4
VWVSBHGCDBMOOT-IIEHVVJPSA-N,352014.16,-8.5
LEVWYRKDKASIDU-IMJSIDKUSA-N,1914404.63,-5.5
JFPVXVDWJQMJEE-IZRZKJBUSA-N,911245.65,-7.6
NETZHAKZCGBWSS-CEDHKZHLSA-N,316737.34,-7.7
KWGRBVOPPLSCSI-WPRPVWTQSA-N,300348.64,-5.9
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,401402.4,-8.3
BMOVQUBVGICXQN-MKPDMIMOSA-N,852252.12,-8.0
AJOQSQHYDOFIOX-SECBINFHSA-N,222983.56,-7.2
FEWJPZIEWOKRBE-JCYAYHJZSA-N,300947.21,-5.2
WDICTQVBXKADBP-UHFFFAOYSA-N,422182.32,-6.3
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1151095.53,-6.2
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,317222.18,-7.1
PYVUMAGVCSQCBD-RFAUZJTJSA-N,689692.76,-9.8
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1062527.29,-6.5
YFDSDPIBEUFTMI-UHFFFAOYSA-N,228556.51,-3.8
XXVROGAVTTXONC-NSHDSACASA-N,205174.64,-5.8
YGCODSQDUUUKIV-UHFFFAOYSA-N,435069.92,-5.8
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1175059.94,-6.7
XCPGHVQEEXUHNC-UHFFFAOYSA-N,845643.59,-8.3
KRMDCWKBEZIMAB-UHFFFAOYSA-N,533534.77,-7.4
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1083433.1,-7.8
PFTAWBLQPZVEMU-DZGCQCFKSA-N,723098.92,-8.7
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,809688.27,-8.8
NJCJBUHJQLFDSW-UHFFFAOYSA-N,589040.6,-7.4
UDMBCSSLTHHNCD-KQYNXXCUSA-N,325758.4,-7.4
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1302194.11,-4.7
HTJXMOGUGMSZOG-UHFFFAOYSA-N,698115.3,-7.7
QTQPVLDZQVPLGV-AWEZNQCLSA-N,457195.24,-7.4
HNDVDQJCIGZPNO-YFKPBYRVSA-N,1000266.9,-5.3
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,421671.33,-8.1
YMFIJXDFAPHJIN-SECBINFHSA-N,689404.42,-6.9
AKUJBENLRBOFTD-QZIXMDIESA-N,712939.69,-8.8
TZADDXVKYWMEHX-YFKPBYRVSA-N,1343152.43,-5.5
HTQBXNHDCUEHJF-XWLPCZSASA-N,426951.97,-2.1
