ligand,binding score,energy
GZUITABIAKMVPG-UHFFFAOYSA-N,408573.01,-10.2
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1237007.62,-5.7
SLYPOVJCSQHITR-UHFFFAOYSA-N,676450.93,-5.9
WOFMFGQZHJDGCX-ZULDAHANSA-N,481554.43,-8.1
PVHUJELLJLJGLN-INIZCTEOSA-N,1169663.61,-7.2
IMYZQPCYWPFTAG-YWVKMMECSA-N,597393.91,-5.6
JFPVXVDWJQMJEE-IZRZKJBUSA-N,880410.98,-7.6
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,400317.96,-8.5
HJPHIJVSRJVAGC-SSDOTTSWSA-N,888951.97,-4.1
FEWJPZIEWOKRBE-JCYAYHJZSA-N,404241.34,-4.8
WWZKQHOCKIZLMA-UHFFFAOYSA-N,388353.34,-4.9
LCAAMXMULMCKLJ-UHFFFAOYSA-N,677410.11,-7.4
OIRCOABEOLEUMC-GEJPAHFPSA-N,648483.6,-1.4
FBPFZTCFMRRESA-JGWLITMVSA-N,443875.76,-5.4
NETZHAKZCGBWSS-CEDHKZHLSA-N,302030.48,-8.2
LEVWYRKDKASIDU-IMJSIDKUSA-N,1859307.5,-5.0
AJOQSQHYDOFIOX-SECBINFHSA-N,309662.98,-7.3
KWGRBVOPPLSCSI-WPRPVWTQSA-N,442109.72,-6.0
BUGYDGFZZOZRHP-CDECOKDKSA-N,723821.4,-6.2
DKGZKTPJOSAWFA-UHFFFAOYSA-N,304458.08,-9.1
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1140620.56,-5.1
VWVSBHGCDBMOOT-IIEHVVJPSA-N,336315.64,-9.0
BMOVQUBVGICXQN-MKPDMIMOSA-N,818114.39,-8.3
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1305418.61,-6.1
LGAJOMLFGCSBFF-OLXDQKQCSA-N,357304.37,-8.9
YMFIJXDFAPHJIN-SECBINFHSA-N,663429.92,-7.0
PFTAWBLQPZVEMU-DZGCQCFKSA-N,692443.17,-8.6
HNDVDQJCIGZPNO-YFKPBYRVSA-N,980536.97,-5.1
UDMBCSSLTHHNCD-KQYNXXCUSA-N,460079.42,-7.3
WDICTQVBXKADBP-UHFFFAOYSA-N,460373.83,-6.2
HTJXMOGUGMSZOG-UHFFFAOYSA-N,679067.44,-7.4
XXVROGAVTTXONC-NSHDSACASA-N,287767.61,-5.7
PYVUMAGVCSQCBD-RFAUZJTJSA-N,659240.35,-9.1
TZADDXVKYWMEHX-YFKPBYRVSA-N,1334762.17,-5.5
YGCODSQDUUUKIV-UHFFFAOYSA-N,678407.54,-6.0
XCPGHVQEEXUHNC-UHFFFAOYSA-N,814196.98,-8.6
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1169672.09,-6.4
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,316656.15,-7.1
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1262752.58,-4.9
