ligand,binding score,energy
NETZHAKZCGBWSS-CEDHKZHLSA-N,292037.06,-8.5
DKGZKTPJOSAWFA-UHFFFAOYSA-N,294362.48,-8.9
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1265004.83,-6.2
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,371812.02,-9.1
JFPVXVDWJQMJEE-IZRZKJBUSA-N,851179.54,-8.7
AJOQSQHYDOFIOX-SECBINFHSA-N,217519.46,-7.8
KWGRBVOPPLSCSI-WPRPVWTQSA-N,385775.14,-6.0
FBPFZTCFMRRESA-JGWLITMVSA-N,293717.87,-6.5
OIRCOABEOLEUMC-GEJPAHFPSA-N,628295.63,-1.4
FEWJPZIEWOKRBE-JCYAYHJZSA-N,288061.12,-6.3
GZUITABIAKMVPG-UHFFFAOYSA-N,394682.91,-10.7
LEVWYRKDKASIDU-IMJSIDKUSA-N,1813242.87,-6.1
BUGYDGFZZOZRHP-CDECOKDKSA-N,676844.91,-6.4
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1201212.16,-6.1
LCAAMXMULMCKLJ-UHFFFAOYSA-N,655545.7,-8.3
HJPHIJVSRJVAGC-SSDOTTSWSA-N,813027.97,-5.0
IMYZQPCYWPFTAG-YWVKMMECSA-N,570707.14,-5.8
BMOVQUBVGICXQN-MKPDMIMOSA-N,791277.15,-9.4
LGAJOMLFGCSBFF-OLXDQKQCSA-N,335437.33,-10.1
WOFMFGQZHJDGCX-ZULDAHANSA-N,466475.94,-9.5
VWVSBHGCDBMOOT-IIEHVVJPSA-N,325651.71,-9.3
WWZKQHOCKIZLMA-UHFFFAOYSA-N,291403.83,-5.1
SLYPOVJCSQHITR-UHFFFAOYSA-N,618318.39,-6.4
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1088217.01,-6.0
PVHUJELLJLJGLN-INIZCTEOSA-N,1137382.04,-7.7
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,389448.79,-8.7
UDMBCSSLTHHNCD-KQYNXXCUSA-N,375109.39,-8.8
XXVROGAVTTXONC-NSHDSACASA-N,221170.9,-5.8
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1012562.91,-8.7
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1227199.48,-5.3
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1098672.0,-6.8
YGCODSQDUUUKIV-UHFFFAOYSA-N,429552.96,-6.4
PAZJSJFMUHDSTF-AWEZNQCLSA-N,992137.61,-6.4
NJCJBUHJQLFDSW-UHFFFAOYSA-N,544627.8,-8.9
AKUJBENLRBOFTD-QZIXMDIESA-N,662332.68,-9.8
WDICTQVBXKADBP-UHFFFAOYSA-N,405938.16,-6.7
YFDSDPIBEUFTMI-UHFFFAOYSA-N,168156.34,-4.0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,935351.89,-6.0
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,751236.75,-8.9
PFTAWBLQPZVEMU-DZGCQCFKSA-N,668791.06,-8.8
PYVUMAGVCSQCBD-RFAUZJTJSA-N,639104.93,-9.3
HTJXMOGUGMSZOG-UHFFFAOYSA-N,646316.85,-8.0
YMFIJXDFAPHJIN-SECBINFHSA-N,639457.77,-7.0
KRMDCWKBEZIMAB-UHFFFAOYSA-N,547201.66,-8.1
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1097363.88,-8.2
XCPGHVQEEXUHNC-UHFFFAOYSA-N,784001.36,-9.6
QTQPVLDZQVPLGV-AWEZNQCLSA-N,423331.95,-7.7
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,292777.58,-8.1
TZADDXVKYWMEHX-YFKPBYRVSA-N,1259112.41,-6.7
IVVNZDGDKPTYHK-JTQLQIEISA-N,538907.37,-7.0
HTQBXNHDCUEHJF-XWLPCZSASA-N,404509.87,-2.4
VXOWJCTXWVWLLC-REGDIAEZSA-N,788354.29,-9.2
AIZFEOPQVZBNGH-UHFFFAOYSA-N,400102.16,-8.5
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,240897.89,-0.9
RGHNJXZEOKUKBD-SQOUGZDYSA-N,285105.61,-6.4
XRQDFNLINLXZLB-CKIKVBCHSA-N,982268.35,-7.5
MKKYBZZTJQGVCD-XTCKQBCOSA-N,705880.94,-8.7
ATXHVCQZZJYMCF-XUDSTZEESA-N,334287.18,-9.1
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1929743.68,-5.7
RUOKEQAAGRXIBM-GFCCVEGCSA-N,648293.64,-6.7
JZRWCGZRTZMZEH-UHFFFAOYSA-N,324085.53,-7.0
CDAISMWEOUEBRE-GPIVLXJGSA-N,350109.06,-6.8
UMSGKTJDUHERQW-UHFFFAOYSA-N,988885.67,-8.8
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1253605.92,-8.1
OUDSBRTVNLOZBN-UHFFFAOYSA-N,887271.79,-8.7
LOUPRKONTZGTKE-WZBLMQSHSA-N,625853.57,-8.8
YEHCICAEULNIGD-MZMPZRCHSA-N,489436.42,-7.7
KAJZGRFYZKWYDX-UHFFFAOYSA-N,747722.76,-6.6
FFINMCNLQNTKLU-UHFFFAOYSA-N,1251666.43,-9.1
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1245255.85,-6.6
JBACAGZMXLDQCR-UHFFFAOYSA-N,1132853.06,-6.8
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,981441.74,-8.0
GZENKSODFLBBHQ-ILSZZQPISA-N,610054.98,-9.2
UJEWTUDSLQGTOA-UHFFFAOYSA-N,824393.86,-7.8
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,459029.23,-7.3
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1049006.01,-8.8
RZVPBGBYGMDSBG-GGAORHGYSA-N,635212.04,-11.1
AGPKZVBTJJNPAG-WHFBIAKZSA-N,285224.16,-5.3
BYPIURIATSUHDW-SNVBAGLBSA-N,762622.06,-7.1
IQADUMSPOQKAAO-UHFFFAOYSA-N,1171186.17,-6.3
DCPACFSINCUFEC-CYBMUJFWSA-N,567284.71,-8.0
JYGXADMDTFJGBT-VWUMJDOOSA-N,1127870.44,-8.7
OAYRYNVEFFWSHK-UHFFFAOYSA-N,549285.76,-7.1
NIJJYAXOARWZEE-UHFFFAOYSA-N,1241863.02,-5.1
NPOAOTPXWNWTSH-UHFFFAOYSA-N,229914.69,-6.0
XIUUSFJTJXFNGH-OLQVQODUSA-N,756486.23,-6.3
OVJJILSKYWXGBM-GFCCVEGCSA-N,416883.62,-7.0
PMMYEEVYMWASQN-DMTCNVIQSA-N,402644.62,-5.9
CUWODFFVMXJOKD-UVLQAERKSA-N,1012352.43,-0.9
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1051762.26,-8.0
WVAKABMNNSMCDK-UHFFFAOYSA-N,1068673.67,-6.9
ZKLPARSLTMPFCP-OAQYLSRUSA-N,933943.19,-8.9
VQHSOMBJVWLPSR-JVCRWLNRSA-N,316568.04,-7.5
MCYHPZGUONZRGO-VKHMYHEASA-N,292027.48,-4.5
BAPRUDZDYCKSOQ-RITPCOANSA-N,275806.82,-6.7
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1943350.94,-3.1
YRIZYWQGELRKNT-UHFFFAOYSA-N,1253762.79,-6.1
MBBZMMPHUWSWHV-BDVNFPICSA-N,239497.55,-6.4
ZPMKQFOGINQDAM-UHFFFAOYSA-N,436882.09,-8.8
FVRWRGBTEHAPDI-OAHLLOKOSA-N,490670.8,-8.2
MSYKRHVOOPPJKU-BDAKNGLRSA-N,868222.01,-6.6
OVRNDRQMDRJTHS-FMDGEEDCSA-N,606003.75,-7.3
PWNMXPDKBYZCOO-NSHDSACASA-N,715551.06,-10.6
WQZGKKKJIJFFOK-PHYPRBDBSA-N,768768.8,-6.8
FHXBMXJMKMWVRG-SLHNCBLASA-N,674687.89,-9.0
CMCCHHWTTBEZNM-SCSAIBSYSA-N,253250.43,-6.6
OXFGTKPPFSCSMA-XVKPBYJWSA-N,210487.99,-6.4
JXZZEXZZKAWDSP-UHFFFAOYSA-N,620497.08,-9.9
HEBKCHPVOIAQTA-SCDXWVJYSA-N,374850.06,-5.9
DQDAYGNAKTZFIW-CYBMUJFWSA-N,1044029.07,-8.8
UVAZQQHAVMNMHE-XJKSGUPXSA-N,757638.09,-6.9
HJJRIJDTIPFROI-NVKITGPLSA-N,281502.6,-8.1
VDUWPHTZYNWKRN-UHFFFAOYSA-N,718671.29,-8.6
SFZCNBIFKDRMGX-UHFFFAOYSA-N,1886728.9,-1.0
JXLYSJRDGCGARV-CFWMRBGOSA-N,470755.08,-8.3
HJBWBFZLDZWPHF-UHFFFAOYSA-N,739438.95,-9.7
ANGKOCUUWGHLCE-IEBWSBKVSA-N,785647.54,-8.0
XDVCLKFLRAWGIT-ADOAZJKMSA-N,362180.82,-10.1
ZFSXZJXLKAJIGS-UHFFFAOYSA-N,765936.43,-9.0
QOYHHIBFXOOADH-UHFFFAOYSA-N,538494.13,-11.0
DYAIAHUQIPBDIP-AXAPSJFSSA-N,884472.33,-9.6
ALAXZYHFVBSJKZ-UHFFFAOYSA-N,937864.39,-9.8
YTKUWDBFDASYHO-UHFFFAOYSA-N,1205079.09,-6.7
