ligand,binding score,energy
LEVWYRKDKASIDU-IMJSIDKUSA-N,1787124.72,-4.8
OIRCOABEOLEUMC-GEJPAHFPSA-N,610342.67,-1.1
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,360568.42,-7.2
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1237627.67,-5.7
GZUITABIAKMVPG-UHFFFAOYSA-N,381978.13,-8.2
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1175880.52,-5.5
AJOQSQHYDOFIOX-SECBINFHSA-N,137627.89,-6.4
PVHUJELLJLJGLN-INIZCTEOSA-N,1110127.43,-5.9
KWGRBVOPPLSCSI-WPRPVWTQSA-N,428533.84,-5.7
DKGZKTPJOSAWFA-UHFFFAOYSA-N,284004.9,-7.6
WOFMFGQZHJDGCX-ZULDAHANSA-N,451665.51,-7.0
LCAAMXMULMCKLJ-UHFFFAOYSA-N,636329.39,-7.2
SLYPOVJCSQHITR-UHFFFAOYSA-N,566049.61,-5.8
HJPHIJVSRJVAGC-SSDOTTSWSA-N,782012.29,-3.7
BUGYDGFZZOZRHP-CDECOKDKSA-N,657370.19,-5.9
FBPFZTCFMRRESA-JGWLITMVSA-N,185457.72,-4.6
WWZKQHOCKIZLMA-UHFFFAOYSA-N,199116.49,-4.8
FEWJPZIEWOKRBE-JCYAYHJZSA-N,203215.14,-4.8
BMOVQUBVGICXQN-MKPDMIMOSA-N,767063.69,-6.5
JFPVXVDWJQMJEE-IZRZKJBUSA-N,827897.89,-6.4
IMYZQPCYWPFTAG-YWVKMMECSA-N,554436.59,-4.7
LGAJOMLFGCSBFF-OLXDQKQCSA-N,344716.51,-7.4
VWVSBHGCDBMOOT-IIEHVVJPSA-N,315538.9,-7.0
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1059515.05,-4.8
NETZHAKZCGBWSS-CEDHKZHLSA-N,282183.89,-6.9
WTFXJFJYEJZMFO-UHFFFAOYSA-N,987768.63,-6.9
NJCJBUHJQLFDSW-UHFFFAOYSA-N,527774.23,-6.5
UDMBCSSLTHHNCD-KQYNXXCUSA-N,410559.2,-6.9
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1069444.92,-6.7
AKUJBENLRBOFTD-QZIXMDIESA-N,642988.01,-7.1
PFTAWBLQPZVEMU-DZGCQCFKSA-N,644743.71,-7.1
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1047464.96,-5.7
XCPGHVQEEXUHNC-UHFFFAOYSA-N,760243.18,-7.3
YMFIJXDFAPHJIN-SECBINFHSA-N,619418.48,-5.9
PAZJSJFMUHDSTF-AWEZNQCLSA-N,966747.41,-6.1
PYVUMAGVCSQCBD-RFAUZJTJSA-N,619922.18,-7.4
YGCODSQDUUUKIV-UHFFFAOYSA-N,424544.57,-5.4
HNDVDQJCIGZPNO-YFKPBYRVSA-N,909187.72,-5.0
YFDSDPIBEUFTMI-UHFFFAOYSA-N,114293.61,-3.3
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1201679.07,-4.1
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,375246.57,-6.5
KRMDCWKBEZIMAB-UHFFFAOYSA-N,528089.12,-7.4
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,729304.49,-6.8
TZADDXVKYWMEHX-YFKPBYRVSA-N,1226400.92,-4.8
WDICTQVBXKADBP-UHFFFAOYSA-N,405705.01,-5.9
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,279147.09,-6.4
HTJXMOGUGMSZOG-UHFFFAOYSA-N,626793.86,-6.4
XXVROGAVTTXONC-NSHDSACASA-N,215942.07,-5.5
QTQPVLDZQVPLGV-AWEZNQCLSA-N,410495.7,-5.7
IVVNZDGDKPTYHK-JTQLQIEISA-N,520378.19,-6.0
XRQDFNLINLXZLB-CKIKVBCHSA-N,956148.15,-5.8
JZRWCGZRTZMZEH-UHFFFAOYSA-N,198769.42,-5.5
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1225649.71,-6.8
RUOKEQAAGRXIBM-GFCCVEGCSA-N,626782.51,-6.1
AIZFEOPQVZBNGH-UHFFFAOYSA-N,394999.88,-6.5
CDAISMWEOUEBRE-GPIVLXJGSA-N,368029.42,-5.3
VXOWJCTXWVWLLC-REGDIAEZSA-N,765824.98,-7.0
YEHCICAEULNIGD-MZMPZRCHSA-N,474067.75,-6.4
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1896762.15,-4.5
HTQBXNHDCUEHJF-XWLPCZSASA-N,385565.11,-1.7
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,209179.16,-0.9
ATXHVCQZZJYMCF-XUDSTZEESA-N,324937.14,-6.6
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,956403.02,-6.5
KAJZGRFYZKWYDX-UHFFFAOYSA-N,725732.21,-6.6
MKKYBZZTJQGVCD-XTCKQBCOSA-N,685583.64,-5.5
RGHNJXZEOKUKBD-SQOUGZDYSA-N,205227.8,-5.1
UMSGKTJDUHERQW-UHFFFAOYSA-N,962638.42,-6.8
LOUPRKONTZGTKE-WZBLMQSHSA-N,605157.7,-6.4
FFINMCNLQNTKLU-UHFFFAOYSA-N,1219692.86,-6.7
