ligand,binding score,energy
IMYZQPCYWPFTAG-YWVKMMECSA-N,555082.09,-5.4
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1070149.21,-5.3
WOFMFGQZHJDGCX-ZULDAHANSA-N,457806.17,-7.5
AJOQSQHYDOFIOX-SECBINFHSA-N,405616.82,-7.6
WWZKQHOCKIZLMA-UHFFFAOYSA-N,395286.78,-5.4
FEWJPZIEWOKRBE-JCYAYHJZSA-N,285844.5,-5.2
VWVSBHGCDBMOOT-IIEHVVJPSA-N,319617.99,-7.8
OIRCOABEOLEUMC-GEJPAHFPSA-N,615838.44,-1.5
PVHUJELLJLJGLN-INIZCTEOSA-N,1115381.16,-6.8
LCAAMXMULMCKLJ-UHFFFAOYSA-N,643003.71,-8.5
LGAJOMLFGCSBFF-OLXDQKQCSA-N,348783.26,-8.1
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1180098.81,-5.7
DKGZKTPJOSAWFA-UHFFFAOYSA-N,288401.15,-8.6
FBPFZTCFMRRESA-JGWLITMVSA-N,209377.56,-5.8
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,360187.35,-8.2
LEVWYRKDKASIDU-IMJSIDKUSA-N,1791381.66,-5.6
NETZHAKZCGBWSS-CEDHKZHLSA-N,286308.36,-9.0
KWGRBVOPPLSCSI-WPRPVWTQSA-N,428367.53,-6.1
GZUITABIAKMVPG-UHFFFAOYSA-N,385357.35,-8.1
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1243693.1,-6.5
HJPHIJVSRJVAGC-SSDOTTSWSA-N,921317.28,-4.5
JFPVXVDWJQMJEE-IZRZKJBUSA-N,832178.98,-8.0
SLYPOVJCSQHITR-UHFFFAOYSA-N,609436.66,-6.0
BMOVQUBVGICXQN-MKPDMIMOSA-N,774495.76,-7.3
BUGYDGFZZOZRHP-CDECOKDKSA-N,661896.0,-6.2
WTFXJFJYEJZMFO-UHFFFAOYSA-N,990049.83,-7.3
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1043207.81,-6.2
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1205734.23,-5.1
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,284727.29,-7.0
TZADDXVKYWMEHX-YFKPBYRVSA-N,1221533.97,-5.5
UDMBCSSLTHHNCD-KQYNXXCUSA-N,291782.17,-7.6
XCPGHVQEEXUHNC-UHFFFAOYSA-N,764599.01,-9.2
QTQPVLDZQVPLGV-AWEZNQCLSA-N,404753.73,-6.7
NJCJBUHJQLFDSW-UHFFFAOYSA-N,533029.67,-7.3
YGCODSQDUUUKIV-UHFFFAOYSA-N,513473.97,-5.9
XXVROGAVTTXONC-NSHDSACASA-N,273953.97,-5.9
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,374783.72,-7.1
WDICTQVBXKADBP-UHFFFAOYSA-N,366526.17,-6.6
KRMDCWKBEZIMAB-UHFFFAOYSA-N,481138.41,-7.6
YFDSDPIBEUFTMI-UHFFFAOYSA-N,286621.87,-3.2
HNDVDQJCIGZPNO-YFKPBYRVSA-N,910347.74,-6.1
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1076128.87,-6.7
HTJXMOGUGMSZOG-UHFFFAOYSA-N,626295.12,-7.2
PAZJSJFMUHDSTF-AWEZNQCLSA-N,973326.76,-7.0
PYVUMAGVCSQCBD-RFAUZJTJSA-N,626828.66,-8.1
AKUJBENLRBOFTD-QZIXMDIESA-N,650051.45,-7.8
YMFIJXDFAPHJIN-SECBINFHSA-N,622826.19,-6.0
PFTAWBLQPZVEMU-DZGCQCFKSA-N,653936.93,-7.8
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,736984.99,-7.4
HTQBXNHDCUEHJF-XWLPCZSASA-N,395928.07,-2.2
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1231264.26,-7.6
RUOKEQAAGRXIBM-GFCCVEGCSA-N,631031.51,-6.9
VXOWJCTXWVWLLC-REGDIAEZSA-N,774337.55,-7.4
FFINMCNLQNTKLU-UHFFFAOYSA-N,1224166.7,-6.4
JZRWCGZRTZMZEH-UHFFFAOYSA-N,127084.57,-6.6
UMSGKTJDUHERQW-UHFFFAOYSA-N,970170.36,-7.0
LOUPRKONTZGTKE-WZBLMQSHSA-N,606509.6,-8.4
IVVNZDGDKPTYHK-JTQLQIEISA-N,525563.01,-6.5
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1901341.15,-5.3
MKKYBZZTJQGVCD-XTCKQBCOSA-N,688779.55,-7.3
ATXHVCQZZJYMCF-XUDSTZEESA-N,326819.08,-8.1
CDAISMWEOUEBRE-GPIVLXJGSA-N,323549.45,-5.9
JBACAGZMXLDQCR-UHFFFAOYSA-N,1106265.72,-6.6
OUDSBRTVNLOZBN-UHFFFAOYSA-N,862387.79,-7.9
KAJZGRFYZKWYDX-UHFFFAOYSA-N,744154.48,-6.5
RGHNJXZEOKUKBD-SQOUGZDYSA-N,241444.57,-6.1
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1026352.69,-6.0
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,961173.18,-7.3
AIZFEOPQVZBNGH-UHFFFAOYSA-N,383772.33,-8.3
YEHCICAEULNIGD-MZMPZRCHSA-N,479569.39,-7.4
XRQDFNLINLXZLB-CKIKVBCHSA-N,963696.01,-6.7
