ligand,binding score,energy
HJPHIJVSRJVAGC-SSDOTTSWSA-N,850864.79,-4.4
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1256110.52,-5.9
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,367421.99,-7.6
GZUITABIAKMVPG-UHFFFAOYSA-N,392333.3,-8.0
BMOVQUBVGICXQN-MKPDMIMOSA-N,785678.86,-7.6
WOFMFGQZHJDGCX-ZULDAHANSA-N,464446.04,-7.8
FBPFZTCFMRRESA-JGWLITMVSA-N,272256.05,-5.1
NETZHAKZCGBWSS-CEDHKZHLSA-N,290539.85,-9.3
OIRCOABEOLEUMC-GEJPAHFPSA-N,624386.64,-1.7
VWVSBHGCDBMOOT-IIEHVVJPSA-N,324323.88,-8.9
BUGYDGFZZOZRHP-CDECOKDKSA-N,670395.34,-6.6
FEWJPZIEWOKRBE-JCYAYHJZSA-N,269058.78,-5.5
LGAJOMLFGCSBFF-OLXDQKQCSA-N,336296.92,-7.8
AJOQSQHYDOFIOX-SECBINFHSA-N,253235.61,-6.8
LEVWYRKDKASIDU-IMJSIDKUSA-N,1809610.97,-5.4
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1197579.81,-5.8
KWGRBVOPPLSCSI-WPRPVWTQSA-N,627549.88,-5.5
LCAAMXMULMCKLJ-UHFFFAOYSA-N,652475.76,-7.5
SLYPOVJCSQHITR-UHFFFAOYSA-N,591892.39,-5.8
DKGZKTPJOSAWFA-UHFFFAOYSA-N,292431.33,-8.5
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1078819.55,-5.1
IMYZQPCYWPFTAG-YWVKMMECSA-N,564228.6,-5.8
WWZKQHOCKIZLMA-UHFFFAOYSA-N,314051.11,-4.9
PVHUJELLJLJGLN-INIZCTEOSA-N,1133433.42,-6.3
JFPVXVDWJQMJEE-IZRZKJBUSA-N,846974.96,-6.7
AKUJBENLRBOFTD-QZIXMDIESA-N,658774.83,-9.1
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1090161.62,-6.8
XCPGHVQEEXUHNC-UHFFFAOYSA-N,778897.34,-7.7
HNDVDQJCIGZPNO-YFKPBYRVSA-N,926846.27,-5.7
TZADDXVKYWMEHX-YFKPBYRVSA-N,1238647.0,-4.9
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1007578.23,-7.1
