ligand,binding score,energy
BMOVQUBVGICXQN-MKPDMIMOSA-N,831039.87,-7.4
SLYPOVJCSQHITR-UHFFFAOYSA-N,595524.78,-5.7
WWZKQHOCKIZLMA-UHFFFAOYSA-N,104764.43,-4.5
JFPVXVDWJQMJEE-IZRZKJBUSA-N,887819.09,-6.7
KWGRBVOPPLSCSI-WPRPVWTQSA-N,138489.59,-5.4
HJPHIJVSRJVAGC-SSDOTTSWSA-N,779646.97,-4.0
NETZHAKZCGBWSS-CEDHKZHLSA-N,308842.07,-7.8
LGAJOMLFGCSBFF-OLXDQKQCSA-N,356926.7,-7.6
GZUITABIAKMVPG-UHFFFAOYSA-N,415149.19,-7.5
AJOQSQHYDOFIOX-SECBINFHSA-N,50152.05,-6.6
LEVWYRKDKASIDU-IMJSIDKUSA-N,1886186.07,-4.9
DKGZKTPJOSAWFA-UHFFFAOYSA-N,310477.25,-7.5
PVHUJELLJLJGLN-INIZCTEOSA-N,1186747.6,-6.3
FBPFZTCFMRRESA-JGWLITMVSA-N,107888.59,-5.9
LCAAMXMULMCKLJ-UHFFFAOYSA-N,691844.25,-8.0
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1248672.07,-5.9
BUGYDGFZZOZRHP-CDECOKDKSA-N,698392.83,-6.6
FEWJPZIEWOKRBE-JCYAYHJZSA-N,135002.37,-5.7
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1130580.62,-5.1
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1314436.95,-5.7
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,390619.5,-6.8
VWVSBHGCDBMOOT-IIEHVVJPSA-N,343723.27,-7.7
WOFMFGQZHJDGCX-ZULDAHANSA-N,492319.59,-8.2
OIRCOABEOLEUMC-GEJPAHFPSA-N,659929.07,-1.6
IMYZQPCYWPFTAG-YWVKMMECSA-N,598018.26,-6.1
YGCODSQDUUUKIV-UHFFFAOYSA-N,212491.64,-5.5
KRMDCWKBEZIMAB-UHFFFAOYSA-N,319489.54,-6.9
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1278133.92,-4.5
XXVROGAVTTXONC-NSHDSACASA-N,75902.4,-5.4
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,405906.77,-7.1
NJCJBUHJQLFDSW-UHFFFAOYSA-N,573380.1,-6.8
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1040807.71,-6.4
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1150296.3,-7.3
QTQPVLDZQVPLGV-AWEZNQCLSA-N,442188.72,-6.8
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,790738.56,-7.8
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1109693.61,-5.4
HTJXMOGUGMSZOG-UHFFFAOYSA-N,676725.51,-6.2
PFTAWBLQPZVEMU-DZGCQCFKSA-N,701677.3,-7.3
HNDVDQJCIGZPNO-YFKPBYRVSA-N,971434.61,-5.2
TZADDXVKYWMEHX-YFKPBYRVSA-N,1305347.1,-5.0
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,300610.44,-5.9
YFDSDPIBEUFTMI-UHFFFAOYSA-N,19803.7,-3.7
XCPGHVQEEXUHNC-UHFFFAOYSA-N,821763.73,-8.0
UDMBCSSLTHHNCD-KQYNXXCUSA-N,254785.4,-7.0
PYVUMAGVCSQCBD-RFAUZJTJSA-N,672558.75,-8.2
WDICTQVBXKADBP-UHFFFAOYSA-N,428943.08,-5.6
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1059214.44,-6.4
AKUJBENLRBOFTD-QZIXMDIESA-N,696396.03,-8.0
YMFIJXDFAPHJIN-SECBINFHSA-N,670763.38,-5.9
AIZFEOPQVZBNGH-UHFFFAOYSA-N,404045.84,-7.7
CDAISMWEOUEBRE-GPIVLXJGSA-N,224526.16,-7.5
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,1029211.69,-6.7
VXOWJCTXWVWLLC-REGDIAEZSA-N,828225.06,-8.0
MKKYBZZTJQGVCD-XTCKQBCOSA-N,738660.62,-6.8
RUOKEQAAGRXIBM-GFCCVEGCSA-N,679235.07,-6.1
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1307771.23,-6.8
HTQBXNHDCUEHJF-XWLPCZSASA-N,385696.46,-2.0
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1994493.43,-5.4
JZRWCGZRTZMZEH-UHFFFAOYSA-N,40144.37,-6.0
OUDSBRTVNLOZBN-UHFFFAOYSA-N,921809.89,-7.1
RGHNJXZEOKUKBD-SQOUGZDYSA-N,110706.41,-5.3
IVVNZDGDKPTYHK-JTQLQIEISA-N,564795.09,-6.1
ATXHVCQZZJYMCF-XUDSTZEESA-N,351300.73,-7.6
LOUPRKONTZGTKE-WZBLMQSHSA-N,649584.52,-6.8
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,130301.35,-0.8
UMSGKTJDUHERQW-UHFFFAOYSA-N,1039010.26,-7.5
XRQDFNLINLXZLB-CKIKVBCHSA-N,1029059.9,-6.6
WQZGKKKJIJFFOK-VFUOTHLCSA-N,940282.67,-5.6
YEHCICAEULNIGD-MZMPZRCHSA-N,516781.1,-6.4
KAJZGRFYZKWYDX-UHFFFAOYSA-N,778927.36,-5.9
