ligand,binding score,energy
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1198691.03,-6.3
BMOVQUBVGICXQN-MKPDMIMOSA-N,788934.26,-9.4
LGAJOMLFGCSBFF-OLXDQKQCSA-N,326560.93,-9.9
WWZKQHOCKIZLMA-UHFFFAOYSA-N,294980.71,-5.0
LCAAMXMULMCKLJ-UHFFFAOYSA-N,654226.94,-8.3
IMYZQPCYWPFTAG-YWVKMMECSA-N,567816.2,-5.8
FEWJPZIEWOKRBE-JCYAYHJZSA-N,285805.4,-6.3
NETZHAKZCGBWSS-CEDHKZHLSA-N,291235.85,-9.4
PVHUJELLJLJGLN-INIZCTEOSA-N,1133763.04,-7.8
WOFMFGQZHJDGCX-ZULDAHANSA-N,465296.49,-9.6
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1085118.61,-6.0
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1262676.89,-6.1
SLYPOVJCSQHITR-UHFFFAOYSA-N,618173.25,-6.4
FBPFZTCFMRRESA-JGWLITMVSA-N,304353.61,-6.2
GZUITABIAKMVPG-UHFFFAOYSA-N,393335.5,-11.3
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,369596.48,-9.2
OIRCOABEOLEUMC-GEJPAHFPSA-N,626713.34,-1.4
BUGYDGFZZOZRHP-CDECOKDKSA-N,672326.46,-6.5
KWGRBVOPPLSCSI-WPRPVWTQSA-N,401670.78,-6.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,1813582.18,-5.8
HJPHIJVSRJVAGC-SSDOTTSWSA-N,816526.96,-5.0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,324870.08,-9.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,293707.53,-8.8
JFPVXVDWJQMJEE-IZRZKJBUSA-N,847804.24,-8.5
AJOQSQHYDOFIOX-SECBINFHSA-N,235341.67,-7.9
XXVROGAVTTXONC-NSHDSACASA-N,226157.01,-5.7
HTJXMOGUGMSZOG-UHFFFAOYSA-N,642417.34,-7.8
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1094864.25,-8.2
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1225389.33,-5.6
NJCJBUHJQLFDSW-UHFFFAOYSA-N,543141.11,-8.9
HNDVDQJCIGZPNO-YFKPBYRVSA-N,930233.18,-6.1
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,289899.66,-7.7
PYVUMAGVCSQCBD-RFAUZJTJSA-N,637699.43,-9.3
WDICTQVBXKADBP-UHFFFAOYSA-N,399851.51,-6.8
PFTAWBLQPZVEMU-DZGCQCFKSA-N,667230.64,-9.1
UDMBCSSLTHHNCD-KQYNXXCUSA-N,312898.89,-8.9
YGCODSQDUUUKIV-UHFFFAOYSA-N,396724.8,-6.4
PAZJSJFMUHDSTF-AWEZNQCLSA-N,990405.84,-7.3
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,749665.67,-9.1
YMFIJXDFAPHJIN-SECBINFHSA-N,636815.9,-7.1
XCPGHVQEEXUHNC-UHFFFAOYSA-N,781257.65,-9.6
QTQPVLDZQVPLGV-AWEZNQCLSA-N,419015.53,-7.7
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1007930.15,-8.6
YFDSDPIBEUFTMI-UHFFFAOYSA-N,174622.63,-4.0
TZADDXVKYWMEHX-YFKPBYRVSA-N,1250654.72,-6.7
KRMDCWKBEZIMAB-UHFFFAOYSA-N,489283.37,-8.2
AKUJBENLRBOFTD-QZIXMDIESA-N,661011.28,-9.8
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1080308.69,-6.9
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,387403.07,-8.7
RUOKEQAAGRXIBM-GFCCVEGCSA-N,645922.54,-6.7
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,978853.44,-8.1
JZRWCGZRTZMZEH-UHFFFAOYSA-N,304648.02,-7.3
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,246359.51,-1.0
XRQDFNLINLXZLB-CKIKVBCHSA-N,980645.11,-7.5
ATXHVCQZZJYMCF-XUDSTZEESA-N,332423.12,-9.1
HTQBXNHDCUEHJF-XWLPCZSASA-N,399754.45,-2.4
LOUPRKONTZGTKE-WZBLMQSHSA-N,622181.87,-8.7
AIZFEOPQVZBNGH-UHFFFAOYSA-N,387111.71,-8.5
JBACAGZMXLDQCR-UHFFFAOYSA-N,1128569.35,-6.9
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1251706.18,-8.3
CDAISMWEOUEBRE-GPIVLXJGSA-N,308464.14,-6.9
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1923873.01,-5.7
YEHCICAEULNIGD-MZMPZRCHSA-N,488125.2,-7.7
KAJZGRFYZKWYDX-UHFFFAOYSA-N,746050.37,-6.6
UMSGKTJDUHERQW-UHFFFAOYSA-N,987017.49,-9.1
IVVNZDGDKPTYHK-JTQLQIEISA-N,537311.69,-7.0
FFINMCNLQNTKLU-UHFFFAOYSA-N,1247991.42,-8.5
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1143967.94,-6.6
OUDSBRTVNLOZBN-UHFFFAOYSA-N,881703.69,-8.9
VXOWJCTXWVWLLC-REGDIAEZSA-N,786695.24,-9.2
MKKYBZZTJQGVCD-XTCKQBCOSA-N,702734.72,-8.7
RGHNJXZEOKUKBD-SQOUGZDYSA-N,292659.73,-6.6
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1043020.0,-7.8
BYPIURIATSUHDW-SNVBAGLBSA-N,761035.5,-7.6
AGPKZVBTJJNPAG-WHFBIAKZSA-N,304677.37,-5.3
BAPRUDZDYCKSOQ-RITPCOANSA-N,200029.78,-6.7
RZVPBGBYGMDSBG-GGAORHGYSA-N,631882.13,-11.5
XIUUSFJTJXFNGH-OLQVQODUSA-N,752885.23,-6.4
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,455944.85,-7.8
MCYHPZGUONZRGO-VKHMYHEASA-N,308441.91,-4.5
ZKLPARSLTMPFCP-OAQYLSRUSA-N,919466.49,-8.9
NIJJYAXOARWZEE-UHFFFAOYSA-N,1240742.97,-5.2
JYGXADMDTFJGBT-VWUMJDOOSA-N,1126188.74,-9.2
CUWODFFVMXJOKD-UVLQAERKSA-N,1010181.46,-0.9
IQADUMSPOQKAAO-UHFFFAOYSA-N,1166873.7,-6.1
OVJJILSKYWXGBM-GFCCVEGCSA-N,411838.4,-6.3
UJEWTUDSLQGTOA-UHFFFAOYSA-N,821773.23,-7.9
PMMYEEVYMWASQN-DMTCNVIQSA-N,399997.63,-5.9
GZENKSODFLBBHQ-ILSZZQPISA-N,607135.68,-9.2
WVAKABMNNSMCDK-UHFFFAOYSA-N,1061333.76,-7.1
DCPACFSINCUFEC-CYBMUJFWSA-N,567772.51,-7.7
NPOAOTPXWNWTSH-UHFFFAOYSA-N,248153.46,-5.9
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1940356.24,-3.1
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1046695.7,-8.1
YRIZYWQGELRKNT-UHFFFAOYSA-N,1246551.13,-6.4
OAYRYNVEFFWSHK-UHFFFAOYSA-N,537742.62,-7.1
VQHSOMBJVWLPSR-JVCRWLNRSA-N,310587.71,-7.7
WQZGKKKJIJFFOK-PHYPRBDBSA-N,655519.05,-6.8
DYAIAHUQIPBDIP-AXAPSJFSSA-N,882593.41,-9.7
ZFSXZJXLKAJIGS-UHFFFAOYSA-N,760396.2,-9.0
FVRWRGBTEHAPDI-OAHLLOKOSA-N,489134.15,-8.5
VDUWPHTZYNWKRN-UHFFFAOYSA-N,714708.63,-8.6
HEBKCHPVOIAQTA-SCDXWVJYSA-N,379803.56,-5.8
ZPMKQFOGINQDAM-UHFFFAOYSA-N,355456.57,-8.8
CMCCHHWTTBEZNM-SCSAIBSYSA-N,243346.24,-6.6
MSYKRHVOOPPJKU-BDAKNGLRSA-N,865379.05,-6.6
JXLYSJRDGCGARV-CFWMRBGOSA-N,468466.46,-7.7
FHXBMXJMKMWVRG-SLHNCBLASA-N,672910.68,-9.2
UVAZQQHAVMNMHE-XJKSGUPXSA-N,755934.28,-6.4
QOYHHIBFXOOADH-UHFFFAOYSA-N,537476.35,-10.8
SFZCNBIFKDRMGX-UHFFFAOYSA-N,1881593.22,-1.1
MBBZMMPHUWSWHV-BDVNFPICSA-N,253803.6,-6.4
YTKUWDBFDASYHO-UHFFFAOYSA-N,1200004.13,-7.4
XDVCLKFLRAWGIT-ADOAZJKMSA-N,361179.09,-10.1
PWNMXPDKBYZCOO-NSHDSACASA-N,714322.13,-10.5
ANGKOCUUWGHLCE-IEBWSBKVSA-N,783949.13,-8.0
