ligand,binding score,energy
GZUITABIAKMVPG-UHFFFAOYSA-N,394709.47,-11.2
AJOQSQHYDOFIOX-SECBINFHSA-N,217887.81,-7.7
BMOVQUBVGICXQN-MKPDMIMOSA-N,791605.0,-9.4
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1089236.97,-5.7
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1265763.53,-6.3
BUGYDGFZZOZRHP-CDECOKDKSA-N,675721.49,-6.5
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1201913.87,-6.4
IMYZQPCYWPFTAG-YWVKMMECSA-N,571055.55,-5.7
FEWJPZIEWOKRBE-JCYAYHJZSA-N,280732.2,-6.2
WOFMFGQZHJDGCX-ZULDAHANSA-N,466601.15,-9.6
KWGRBVOPPLSCSI-WPRPVWTQSA-N,385708.55,-6.0
LGAJOMLFGCSBFF-OLXDQKQCSA-N,329806.49,-10.7
FBPFZTCFMRRESA-JGWLITMVSA-N,292843.95,-6.2
SLYPOVJCSQHITR-UHFFFAOYSA-N,618292.46,-6.4
OIRCOABEOLEUMC-GEJPAHFPSA-N,628511.29,-1.4
HJPHIJVSRJVAGC-SSDOTTSWSA-N,813041.64,-5.0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,325827.57,-9.3
NETZHAKZCGBWSS-CEDHKZHLSA-N,292136.73,-9.3
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,372220.78,-9.2
PVHUJELLJLJGLN-INIZCTEOSA-N,1137480.71,-7.7
JFPVXVDWJQMJEE-IZRZKJBUSA-N,850964.76,-8.7
LCAAMXMULMCKLJ-UHFFFAOYSA-N,655932.73,-8.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,294639.21,-9.2
LEVWYRKDKASIDU-IMJSIDKUSA-N,1816581.59,-6.0
WWZKQHOCKIZLMA-UHFFFAOYSA-N,280953.34,-5.1
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,292662.05,-8.2
HTJXMOGUGMSZOG-UHFFFAOYSA-N,646078.8,-8.1
XXVROGAVTTXONC-NSHDSACASA-N,220772.42,-5.7
XCPGHVQEEXUHNC-UHFFFAOYSA-N,783907.3,-9.6
UDMBCSSLTHHNCD-KQYNXXCUSA-N,332912.73,-8.8
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,751592.81,-9.2
PAZJSJFMUHDSTF-AWEZNQCLSA-N,993010.65,-6.8
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1091669.58,-6.8
PFTAWBLQPZVEMU-DZGCQCFKSA-N,669342.7,-9.1
YFDSDPIBEUFTMI-UHFFFAOYSA-N,168700.36,-4.0
KRMDCWKBEZIMAB-UHFFFAOYSA-N,509273.62,-8.1
HNDVDQJCIGZPNO-YFKPBYRVSA-N,934791.22,-5.9
PYVUMAGVCSQCBD-RFAUZJTJSA-N,639457.2,-9.4
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1098069.62,-8.2
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1228674.23,-5.7
AKUJBENLRBOFTD-QZIXMDIESA-N,662762.98,-9.8
NJCJBUHJQLFDSW-UHFFFAOYSA-N,544776.03,-8.9
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,389799.52,-8.8
QTQPVLDZQVPLGV-AWEZNQCLSA-N,422961.03,-7.6
WDICTQVBXKADBP-UHFFFAOYSA-N,406172.4,-6.7
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1012006.58,-8.5
YGCODSQDUUUKIV-UHFFFAOYSA-N,406201.61,-6.4
TZADDXVKYWMEHX-YFKPBYRVSA-N,1260369.98,-6.7
YMFIJXDFAPHJIN-SECBINFHSA-N,639898.69,-7.0
FFINMCNLQNTKLU-UHFFFAOYSA-N,1252530.76,-9.2
XRQDFNLINLXZLB-CKIKVBCHSA-N,983399.84,-7.4
IVVNZDGDKPTYHK-JTQLQIEISA-N,539080.66,-7.0
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1254643.83,-8.1
CDAISMWEOUEBRE-GPIVLXJGSA-N,316095.26,-6.9
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1929398.67,-5.7
YEHCICAEULNIGD-MZMPZRCHSA-N,489638.63,-7.6
ATXHVCQZZJYMCF-XUDSTZEESA-N,333767.27,-9.1
VXOWJCTXWVWLLC-REGDIAEZSA-N,788897.31,-9.5
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,982124.33,-7.7
JBACAGZMXLDQCR-UHFFFAOYSA-N,1132805.83,-6.8
HTQBXNHDCUEHJF-XWLPCZSASA-N,399967.6,-2.4
RUOKEQAAGRXIBM-GFCCVEGCSA-N,648415.32,-6.8
LOUPRKONTZGTKE-WZBLMQSHSA-N,625569.25,-8.9
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,241063.11,-0.9
JZRWCGZRTZMZEH-UHFFFAOYSA-N,306691.91,-7.4
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1159893.85,-6.6
KAJZGRFYZKWYDX-UHFFFAOYSA-N,748221.54,-6.6
OUDSBRTVNLOZBN-UHFFFAOYSA-N,886058.74,-8.9
AIZFEOPQVZBNGH-UHFFFAOYSA-N,392021.28,-8.5
RGHNJXZEOKUKBD-SQOUGZDYSA-N,283118.45,-6.7
MKKYBZZTJQGVCD-XTCKQBCOSA-N,705862.42,-8.6
UMSGKTJDUHERQW-UHFFFAOYSA-N,989506.06,-8.5
OAYRYNVEFFWSHK-UHFFFAOYSA-N,543427.29,-7.1
GZENKSODFLBBHQ-ILSZZQPISA-N,610091.99,-9.2
NIJJYAXOARWZEE-UHFFFAOYSA-N,1242710.6,-5.3
WVAKABMNNSMCDK-UHFFFAOYSA-N,1067116.4,-7.0
AGPKZVBTJJNPAG-WHFBIAKZSA-N,284970.96,-5.3
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1943976.31,-3.2
OVJJILSKYWXGBM-GFCCVEGCSA-N,414205.2,-6.6
XIUUSFJTJXFNGH-OLQVQODUSA-N,755857.3,-6.4
BAPRUDZDYCKSOQ-RITPCOANSA-N,220219.86,-6.7
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,457761.65,-7.8
JYGXADMDTFJGBT-VWUMJDOOSA-N,1128952.88,-9.2
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1051408.21,-8.0
CUWODFFVMXJOKD-UVLQAERKSA-N,1013062.54,-0.9
ZKLPARSLTMPFCP-OAQYLSRUSA-N,927725.16,-8.7
VQHSOMBJVWLPSR-JVCRWLNRSA-N,312427.2,-7.9
NPOAOTPXWNWTSH-UHFFFAOYSA-N,229307.68,-5.9
BYPIURIATSUHDW-SNVBAGLBSA-N,763033.21,-7.6
PMMYEEVYMWASQN-DMTCNVIQSA-N,403023.39,-5.9
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1049194.63,-7.3
