ligand,binding score,energy
VWVSBHGCDBMOOT-IIEHVVJPSA-N,328489.09,-6.6
AJOQSQHYDOFIOX-SECBINFHSA-N,239414.91,-6.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,297144.74,-7.8
BMOVQUBVGICXQN-MKPDMIMOSA-N,796123.86,-6.4
OIRCOABEOLEUMC-GEJPAHFPSA-N,633956.23,-1.0
FBPFZTCFMRRESA-JGWLITMVSA-N,271335.28,-4.4
KWGRBVOPPLSCSI-WPRPVWTQSA-N,272459.83,-5.3
FEWJPZIEWOKRBE-JCYAYHJZSA-N,361880.86,-4.4
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1277200.59,-5.5
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1207525.54,-4.9
JFPVXVDWJQMJEE-IZRZKJBUSA-N,856780.39,-6.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,1829094.74,-4.4
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1105077.7,-5.1
IMYZQPCYWPFTAG-YWVKMMECSA-N,576719.49,-4.7
GZUITABIAKMVPG-UHFFFAOYSA-N,397163.2,-7.2
WOFMFGQZHJDGCX-ZULDAHANSA-N,470184.07,-8.1
NETZHAKZCGBWSS-CEDHKZHLSA-N,294870.64,-7.3
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,379886.08,-7.2
WWZKQHOCKIZLMA-UHFFFAOYSA-N,305823.54,-4.9
LCAAMXMULMCKLJ-UHFFFAOYSA-N,661360.93,-7.1
HJPHIJVSRJVAGC-SSDOTTSWSA-N,852013.82,-3.9
BUGYDGFZZOZRHP-CDECOKDKSA-N,691595.22,-5.0
PVHUJELLJLJGLN-INIZCTEOSA-N,1142408.47,-6.1
LGAJOMLFGCSBFF-OLXDQKQCSA-N,315377.97,-6.8
SLYPOVJCSQHITR-UHFFFAOYSA-N,634199.21,-5.5
PFTAWBLQPZVEMU-DZGCQCFKSA-N,676023.06,-6.7
YMFIJXDFAPHJIN-SECBINFHSA-N,645547.05,-5.2
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,756673.32,-7.3
HNDVDQJCIGZPNO-YFKPBYRVSA-N,948852.53,-4.8
XCPGHVQEEXUHNC-UHFFFAOYSA-N,791924.37,-6.6
HTJXMOGUGMSZOG-UHFFFAOYSA-N,654964.52,-6.1
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1018469.08,-6.0
NUKCGLDCWQXYOQ-UHFFFAOYSA-N,298855.99,-5.4
WDICTQVBXKADBP-UHFFFAOYSA-N,436926.67,-5.9
YFDSDPIBEUFTMI-UHFFFAOYSA-N,267672.83,-3.3
UDMBCSSLTHHNCD-KQYNXXCUSA-N,362703.18,-6.7
PAZJSJFMUHDSTF-AWEZNQCLSA-N,998577.04,-6.0
QTQPVLDZQVPLGV-AWEZNQCLSA-N,436631.87,-6.1
AKUJBENLRBOFTD-QZIXMDIESA-N,667046.0,-7.5
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1234359.52,-4.1
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,397223.95,-6.7
XXVROGAVTTXONC-NSHDSACASA-N,207903.33,-5.2
YGCODSQDUUUKIV-UHFFFAOYSA-N,537869.39,-5.2
PYVUMAGVCSQCBD-RFAUZJTJSA-N,644584.57,-7.3
NJCJBUHJQLFDSW-UHFFFAOYSA-N,549579.11,-6.6
KRMDCWKBEZIMAB-UHFFFAOYSA-N,680287.57,-7.6
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1106700.86,-5.3
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1104301.23,-6.2
TZADDXVKYWMEHX-YFKPBYRVSA-N,1278904.55,-4.7
RUOKEQAAGRXIBM-GFCCVEGCSA-N,654722.76,-5.9
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,286031.61,-1.0
FFINMCNLQNTKLU-UHFFFAOYSA-N,1260248.81,-6.0
ZZQMUJGZCZTLQD-UHFFFAOYSA-N,1261237.7,-6.4
WQZGKKKJIJFFOK-VFUOTHLCSA-N,1280103.46,-5.0
KAJZGRFYZKWYDX-UHFFFAOYSA-N,761131.67,-5.6
OUDSBRTVNLOZBN-UHFFFAOYSA-N,894100.96,-6.7
JZRWCGZRTZMZEH-UHFFFAOYSA-N,285043.31,-5.5
CDAISMWEOUEBRE-GPIVLXJGSA-N,377220.48,-5.1
AIZFEOPQVZBNGH-UHFFFAOYSA-N,402593.61,-6.5
ATXHVCQZZJYMCF-XUDSTZEESA-N,336967.86,-7.1
LOUPRKONTZGTKE-WZBLMQSHSA-N,631112.48,-6.4
VLCYCQAOQCDTCN-ZCFIWIBFSA-N,1947042.69,-4.6
VXOWJCTXWVWLLC-REGDIAEZSA-N,794209.56,-6.9
IVVNZDGDKPTYHK-JTQLQIEISA-N,546569.68,-6.2
HTQBXNHDCUEHJF-XWLPCZSASA-N,385752.04,-1.7
RGHNJXZEOKUKBD-SQOUGZDYSA-N,310674.46,-4.7
UMSGKTJDUHERQW-UHFFFAOYSA-N,996082.58,-6.8
JBACAGZMXLDQCR-UHFFFAOYSA-N,1144008.8,-5.8
MKKYBZZTJQGVCD-XTCKQBCOSA-N,712991.92,-6.3
ZTVIKZXZYLEVOL-CBBWQLFWSA-N,988537.03,-6.9
YEHCICAEULNIGD-MZMPZRCHSA-N,493444.64,-7.0
XRQDFNLINLXZLB-CKIKVBCHSA-N,989366.86,-5.7
NPOAOTPXWNWTSH-UHFFFAOYSA-N,241470.58,-4.6
WVAKABMNNSMCDK-UHFFFAOYSA-N,1083132.68,-5.5
FRBBPWXCRBHYJQ-FQEVSTJZSA-N,460247.43,-6.1
NBQNWMBBSKPBAY-LTFXXXRZSA-N,1055401.82,-4.9
AGPKZVBTJJNPAG-WHFBIAKZSA-N,354427.85,-4.8
GZENKSODFLBBHQ-ILSZZQPISA-N,615629.58,-6.6
YRIZYWQGELRKNT-UHFFFAOYSA-N,1267460.63,-5.6
NIJJYAXOARWZEE-UHFFFAOYSA-N,1270511.23,-4.5
DCPACFSINCUFEC-CYBMUJFWSA-N,589344.67,-6.7
VQHSOMBJVWLPSR-JVCRWLNRSA-N,326975.16,-4.9
YMBXTVYHTMGZDW-ZWNOBZJWSA-N,1059011.64,-6.3
UJEWTUDSLQGTOA-UHFFFAOYSA-N,830635.2,-6.0
CUWODFFVMXJOKD-UVLQAERKSA-N,1018833.35,-1.0
OAYRYNVEFFWSHK-UHFFFAOYSA-N,583532.49,-6.6
BAPRUDZDYCKSOQ-RITPCOANSA-N,381540.71,-5.1
BYPIURIATSUHDW-SNVBAGLBSA-N,768321.85,-6.1
XIUUSFJTJXFNGH-OLQVQODUSA-N,762656.7,-4.3
OVJJILSKYWXGBM-GFCCVEGCSA-N,441623.72,-5.7
PMMYEEVYMWASQN-DMTCNVIQSA-N,418568.48,-4.3
QYKIQEUNHZKYBP-UHFFFAOYSA-N,1968425.11,-2.8
ZKLPARSLTMPFCP-OAQYLSRUSA-N,939720.15,-6.5
IQADUMSPOQKAAO-UHFFFAOYSA-N,1178016.83,-5.3
RZVPBGBYGMDSBG-GGAORHGYSA-N,640457.76,-7.0
MCYHPZGUONZRGO-VKHMYHEASA-N,312832.02,-3.5
JYGXADMDTFJGBT-VWUMJDOOSA-N,1136402.53,-6.3
DQDAYGNAKTZFIW-CYBMUJFWSA-N,1051282.76,-7.7
FHXBMXJMKMWVRG-SLHNCBLASA-N,679392.57,-7.3
HJJRIJDTIPFROI-NVKITGPLSA-N,284287.31,-5.9
ANGKOCUUWGHLCE-IEBWSBKVSA-N,791564.48,-6.4
CMCCHHWTTBEZNM-SCSAIBSYSA-N,235422.97,-5.5
OVRNDRQMDRJTHS-FMDGEEDCSA-N,753615.05,-5.7
MSYKRHVOOPPJKU-BDAKNGLRSA-N,884721.94,-5.4
FVRWRGBTEHAPDI-OAHLLOKOSA-N,497693.57,-6.7
VDUWPHTZYNWKRN-UHFFFAOYSA-N,728270.32,-5.9
DYAIAHUQIPBDIP-AXAPSJFSSA-N,893268.89,-6.5
JXZZEXZZKAWDSP-UHFFFAOYSA-N,626262.88,-7.6
XDVCLKFLRAWGIT-ADOAZJKMSA-N,365684.95,-8.0
JXLYSJRDGCGARV-CFWMRBGOSA-N,474572.16,-5.9
YTKUWDBFDASYHO-UHFFFAOYSA-N,1206061.68,-5.6
WQZGKKKJIJFFOK-PHYPRBDBSA-N,916382.07,-4.8
HEBKCHPVOIAQTA-SCDXWVJYSA-N,393758.95,-4.0
MBBZMMPHUWSWHV-BDVNFPICSA-N,218164.66,-4.4
ZPMKQFOGINQDAM-UHFFFAOYSA-N,470261.06,-7.8
ZFSXZJXLKAJIGS-UHFFFAOYSA-N,781747.2,-7.1
ALAXZYHFVBSJKZ-UHFFFAOYSA-N,944323.7,-7.8
UVAZQQHAVMNMHE-XJKSGUPXSA-N,762977.49,-5.5
PWNMXPDKBYZCOO-NSHDSACASA-N,722546.96,-7.0
SFZCNBIFKDRMGX-UHFFFAOYSA-N,1906461.1,-0.9
HJBWBFZLDZWPHF-UHFFFAOYSA-N,745092.97,-7.6
QOYHHIBFXOOADH-UHFFFAOYSA-N,546582.83,-8.0
OXFGTKPPFSCSMA-XVKPBYJWSA-N,339015.69,-5.2
