ligand,E1,E2,E3
YRCWQPVGYLYSOX-SECBINFHSA-N,-5.5,-5.4,-5.1
IIDJRNMFWXDHID-UHFFFAOYSA-N,-5.8,-5.4,-5.7
MVGSNCBCUWPVDA-MFOYZWKCSA-N,-7.7,-6.5,-6.7
MSJLJWCAEPENBL-UHFFFAOYSA-N,-5.6,-4.9,-4.9
MUQUYTSLDVKIOF-BBMNSBIFSA-N,-6.5,-6.4,-6.0
MYWUZJCMWCOHBA-VIFPVBQESA-N,-5.6,-5.0,-5.0
KVYGGMBOZFWZBQ-UHFFFAOYSA-N,-7.1,-5.6,-5.9
FPHLBGOJWPEVME-SNVBAGLBSA-N,-6.1,-6.0,-5.7
RQXCLMGKHJWMOA-UHFFFAOYSA-N,-6.7,-5.7,-5.6
SIGSNYAYBSJATD-UHFFFAOYSA-N,-4.7,-4.3,-4.2
LOUPRKONTZGTKE-LHHVKLHASA-N,-6.9,-6.0,-5.6
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,-6.5,-5.5,-4.9
FWWDFDMCZLOXQI-UHFFFAOYSA-N,-5.8,-6.2,-5.4
NMKSAYKQLCHXDK-LJQANCHMSA-N,-6.8,-5.6,-5.4
IKGXIBQEEMLURG-NVPNHPEKSA-N,-7.3,-7.4,-6.9
RUQATQQNXCPTLL-PQMJGINDSA-N,-7.4,-5.7,-5.2
NXFQHRVNIOXGAQ-YCRREMRBSA-N,-6.9,-6.4,-5.5
LGLFFNDHMLKUMI-UHFFFAOYSA-N,-6.9,-5.2,-5.6
CLOMYZFHNHFSIQ-UHFFFAOYSA-N,-7.2,-6.7,-5.8
