ligand,E1,E2,E3
WKEDVNSFRWHDNR-UHFFFAOYSA-N,-7.9,-7.3,-7.4
PBCZLFBEBARBBI-UHFFFAOYSA-N,-8.2,-7.6,-7.9
XCGYUJZMCCFSRP-LBPRGKRZSA-N,-8.0,-7.0,-7.3
WCJFBSYALHQBSK-UHFFFAOYSA-N,-7.2,-4.8,-5.0
HNJJXZKZRAWDPF-UHFFFAOYSA-N,-6.3,-6.4,-6.4
BBRBUTFBTUFFBU-LHACABTQSA-N,-7.7,-6.8,-6.0
WYWHKKSPHMUBEB-UHFFFAOYSA-N,-6.1,-6.2,-6.0
NKPPORKKCMYYTO-DHZHZOJOSA-N,-9.1,-6.8,-6.9
TXHUMRBWIWWBGW-GVGNIZHQSA-N,-9.5,-4.6,-4.9
UPCBSVILVWKHIG-UHFFFAOYSA-N,-9.3,-8.9,-8.9
XWTYSIMOBUGWOL-NSHDSACASA-N,-7.1,-6.9,-6.7
FSKFPVLPFLJRQB-AWEZNQCLSA-N,-7.8,-6.7,-6.9
RYYVLZVUVIJVGH-UHFFFAOYSA-N,-6.4,-5.8,-5.8
JVWOCHRRAWHKLT-UHFFFAOYSA-N,-6.2,-6.2,-6.2
WUWFMDMBOJLQIV-SNVBAGLBSA-N,-9.4,-6.4,-8.6
ZXERDUOLZKYMJM-ZWECCWDJSA-N,-8.4,-6.0,-6.8
YCWSUKQGVSGXJO-NTUHNPAUSA-N,-8.6,-8.3,-8.2
DASYMCLQENWCJG-XUKDPADISA-N,-8.8,-7.3,-7.2
SEDQWOMFMIJKCU-UHFFFAOYSA-N,-7.6,-7.2,-7.2
SAMRUMKYXPVKPA-VFKOLLTISA-N,-9.3,-6.0,-6.5
VHVPQPYKVGDNFY-DKYCYSLVSA-N,-10.1,-8.2,-8.3
MLSQGNCUYAMAHD-ZSXAAYSXSA-N,-8.3,-8.2,-8.1
MKXKFYHWDHIYRV-UHFFFAOYSA-N,-7.9,-6.6,-7.0
WVLAAKXASPCBGT-CQSZACIVSA-N,-9.0,-7.7,-7.6
XAUDJQYHKZQPEU-KVQBGUIXSA-N,-7.5,-6.9,-7.0
