ligand,E1,E2,E3
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.9,-4.8,-4.6
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-7.5,-5.6,-5.1
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-7.7,-6.6,-6.6
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-6.7,-5.0,-5.1
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-8.4,-6.8,-5.6
QXKHYNVANLEOEG-UHFFFAOYSA-N,-7.4,-6.6,-5.7
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-6.0,-5.2,-4.6
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.7,-5.5,-5.3
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.6,-2.4,-2.0
RWLALWYNXFYRGW-YUMQZZPRSA-N,-5.1,-4.2,-4.5
MBHXKZDTQCSVPM-BDAFLREQSA-N,-9.3,-7.3,-7.4
PBVFROWIWWGIFK-KWCOIAHCSA-N,-4.1,-3.2,-3.3
GFBKORZTTCHDGY-UWVJOHFNSA-N,-8.7,-7.2,-6.1
PMFZALLSVLZXMR-SFHVURJKSA-N,-7.2,-5.8,-5.5
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-7.0,-5.7,-5.2
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-5.1,-4.5,-4.6
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-6.0,-5.3,-5.4
BTGNGJJLZOIYID-UHFFFAOYSA-N,-10.0,-7.2,-6.2
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.1,-5.8,-5.3
HSMNQINEKMPTIC-UHFFFAOYSA-N,-7.0,-5.9,-5.4
HVTQGIFBNBMSGE-JZRMKITLSA-N,-4.3,-3.2,-3.5
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-5.0,-4.3,-4.5
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.3,-2.5,-2.7
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.6,-5.9,-5.1
