ligand,E1,E2,E3
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-7.8,-7.3,-6.0
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-7.3,-6.3,-5.9
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-7.4,-8.0,-5.2
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-6.4,-7.1,-3.9
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-8.0,-6.6,-5.9
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-7.7,-6.8,-3.6
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-9.1,-7.9,-5.5
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.9,-6.4,-4.7
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-8.0,-7.2,-4.4
VNQABZCSYCTZMS-UHFFFAOYSA-N,-6.9,-5.9,-6.3
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-8.0,-9.1,-5.9
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.5,-7.6,-5.2
WVYADZUPLLSGPU-UHFFFAOYSA-N,-9.4,-8.8,-5.6
HCYAFALTSJYZDH-UHFFFAOYSA-N,-9.2,-7.2,-5.0
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-6.2,-6.0,-5.9
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-8.2,-8.0,-5.0
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-6.6,-6.3,-6.6
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-6.6,-6.2,-6.3
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-6.2,-5.2,-6.4
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.3,-8.3,-5.0
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-7.1,-6.9,-4.5
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-6.0,-5.0,-5.6
BNFRJXLZYUTIII-UHFFFAOYSA-N,-8.8,-9.1,-5.9
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.4,-9.2,-6.1
