ligand,E1,E2,E3
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-5.7,-4.9,-4.9
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-9.3,-9.9,-7.0
YEKQSSHBERGOJK-UHFFFAOYSA-N,-7.0,-6.4,-5.2
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-5.1,-4.3,-4.5
HXRSXEDVVARPHP-UHFFFAOYSA-N,-7.6,-7.9,-4.7
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-8.7,-8.6,-6.0
RDJGLLICXDHJDY-LLVKDONJSA-N,-8.0,-7.2,-6.0
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-7.3,-6.2,-5.1
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.5,-5.4,-5.2
FMCGSUUBYTWNDP-ONGXEEELSA-N,-6.1,-5.1,-4.8
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.3,-3.6,-4.1
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.7,-4.0,-4.8
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-6.3,-5.6,-4.9
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.8,-7.2,-6.1
NVBZUCIQNYPGCI-CTYIDZIISA-N,-7.7,-7.1,-5.5
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.5,-5.9,-5.6
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-5.2,-4.5,-4.5
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-5.2,-4.0,-4.0
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-6.7,-6.0,-5.3
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.9,-3.7,-4.3
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.4,-3.5,-3.6
WYDUSKDSKCASEF-IBGZPJMESA-N,-7.9,-7.0,-5.7
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-8.0,-7.2,-5.6
HIANJWSAHKJQTH-UHFFFAOYSA-N,-7.8,-6.4,-5.4
